mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_SVM__C,param_SVM__gamma,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0023986339569091798,0.0013995170593261719,0.5202380952380952,0.5687121212121212,1.0,0.01,"{'SVM__C': 1.0, 'SVM__gamma': 0.01}",200,0.6500000000000001,0.5624999999999999,0.5000000000000001,0.55,0.5,0.5333333333333332,0.5,0.5852272727272728,0.425,0.6125,0.0004903706859937481,0.0004909546502999496,0.07464959717424234,0.027678587826310296
0.0026023387908935547,0.0011958599090576172,0.6646825396825397,0.7415151515151516,1.0,0.0311111111111,"{'SVM__C': 1.0, 'SVM__gamma': 0.03111111111111111}",187,0.8166666666666668,0.725,0.5833333333333335,0.75,0.7333333333333333,0.7083333333333334,0.6916666666666667,0.7299242424242425,0.46666666666666673,0.7943181818181818,0.0008026438429704388,0.0003995201521744096,0.1206218664616092,0.029557689774293724
0.0022020816802978517,0.0012000083923339843,0.6769841269841269,0.8223376623376624,1.0,0.0522222222222,"{'SVM__C': 1.0, 'SVM__gamma': 0.052222222222222225}",173,0.8375000000000001,0.8874999999999998,0.5833333333333335,0.7696428571428571,0.7,0.7833333333333333,0.775,0.8003787878787879,0.46666666666666673,0.8708333333333335,0.00040004638103583834,0.0007489548349443128,0.1310902953421031,0.04770373716604998
0.002000284194946289,0.000599527359008789,0.6579365079365079,0.8550757575757576,1.0,0.0733333333333,"{'SVM__C': 1.0, 'SVM__gamma': 0.073333333333333334}",192,0.7125,0.9249999999999999,0.5833333333333335,0.7875,0.7,0.85,0.775,0.8295454545454546,0.5166666666666667,0.8833333333333334,0.0006320348264902888,0.0004895145470454007,0.09022652478486767,0.04675881300038288
0.0016024112701416016,0.0010003089904785157,0.63994708994709,0.8806709956709957,1.0,0.0944444444444,"{'SVM__C': 1.0, 'SVM__gamma': 0.094444444444444442}",195,0.7625000000000002,0.919642857142857,0.5833333333333335,0.8625,0.7,0.875,0.775,0.8545454545454545,0.35000000000000003,0.8916666666666667,0.0004915483656930367,5.56082906231432e-07,0.15052384081529774,0.02317153401009578
0.0020001888275146484,0.0010026454925537109,0.6496031746031746,0.8918831168831168,1.0,0.115555555556,"{'SVM__C': 1.0, 'SVM__gamma': 0.11555555555555555}",194,0.7625000000000002,0.907142857142857,0.6333333333333334,0.8875,0.7,0.9,0.8166666666666668,0.8731060606060607,0.3,0.8916666666666667,0.0006324850929980568,5.44012477758471e-06,0.17213053480672624,0.011580845142448622
0.00180206298828125,0.0008005142211914062,0.631084656084656,0.9022619047619047,1.0,0.136666666667,"{'SVM__C': 1.0, 'SVM__gamma': 0.13666666666666669}",197,0.6791666666666668,0.907142857142857,0.6333333333333334,0.9125000000000001,0.7,0.9,0.8166666666666668,0.9125000000000001,0.3,0.8791666666666667,0.0007495803019682738,0.0007480490972490815,0.16324163518442825,0.012425515041087102
0.001599597930908203,0.0004002571105957031,0.5874338624338624,0.903095238095238,1.0,0.157777777778,"{'SVM__C': 1.0, 'SVM__gamma': 0.15777777777777779}",199,0.6791666666666668,0.907142857142857,0.6333333333333334,0.9125000000000001,0.7,0.9,0.5666666666666667,0.9,0.3,0.8958333333333334,0.0004904083073134365,0.0004902136783269751,0.13947592618660296,0.0059452338043732246
0.0018033981323242188,0.0012035369873046875,0.5985449735449736,0.905595238095238,1.0,0.178888888889,"{'SVM__C': 1.0, 'SVM__gamma': 0.1788888888888889}",198,0.6791666666666668,0.907142857142857,0.6833333333333333,0.925,0.7,0.9,0.5666666666666667,0.9,0.3,0.8958333333333334,0.0007535657676059443,0.0007524241508604303,0.1445877622527345,0.01036193102237569
0.003002452850341797,0.0010028839111328124,0.639021164021164,0.905595238095238,1.0,0.2,"{'SVM__C': 1.0, 'SVM__gamma': 0.20000000000000001}",196,0.6791666666666668,0.907142857142857,0.6833333333333333,0.925,0.7833333333333333,0.9,0.5666666666666667,0.9,0.43333333333333335,0.8958333333333334,0.0012686269074034815,1.0182455303222e-06,0.11572823061642314,0.01036193102237569
0.0018032073974609375,0.001201486587524414,0.6567460317460317,0.6767424242424243,2.0,0.01,"{'SVM__C': 2.0, 'SVM__gamma': 0.01}",193,0.7333333333333335,0.5874999999999999,0.5000000000000001,0.7,0.7333333333333333,0.7083333333333334,0.775,0.6844696969696971,0.55,0.7034090909090909,0.00039998968228145617,0.00039777164688054305,0.11137723232814845,0.04532975293752894
0.0020014762878417967,0.0008008480072021484,0.6915343915343914,0.8525757575757575,2.0,0.0311111111111,"{'SVM__C': 2.0, 'SVM__gamma': 0.03111111111111111}",153,0.8375000000000001,0.9249999999999999,0.5833333333333335,0.7875,0.7,0.8625,0.775,0.8295454545454546,0.55,0.8583333333333333,0.0006325636695923904,0.0004004292098794574,0.10984137656609591,0.0450381177198851
0.0018037796020507813,0.001200723648071289,0.6728835978835979,0.8835497835497834,2.0,0.0522222222222,"{'SVM__C': 2.0, 'SVM__gamma': 0.052222222222222225}",180,0.7125,0.8946428571428572,0.6833333333333333,0.8625,0.7,0.875,0.9,0.8897727272727274,0.35000000000000003,0.8958333333333334,0.001171765234613403,0.0004085696597649368,0.16653578362190333,0.012875240516946518
0.001406717300415039,0.0007987499237060546,0.7030423280423281,0.9030952380952382,2.0,0.0733333333333,"{'SVM__C': 2.0, 'SVM__gamma': 0.073333333333333334}",132,0.6791666666666668,0.907142857142857,0.6833333333333333,0.9125000000000001,0.7833333333333333,0.9,0.9,0.9125000000000001,0.46666666666666673,0.8833333333333334,0.0005006498010376922,0.000399381718957851,0.13443289655329516,0.010893995516888891
0.001398754119873047,0.0008000373840332031,0.7030423280423281,0.9080952380952381,2.0,0.0944444444444,"{'SVM__C': 2.0, 'SVM__gamma': 0.094444444444444442}",132,0.6791666666666668,0.907142857142857,0.6833333333333333,0.925,0.7833333333333333,0.9125,0.9,0.9125000000000001,0.46666666666666673,0.8833333333333334,0.0004896290021089602,0.00040001881990829716,0.13443289655329516,0.013701341444165757
0.001399087905883789,0.0,0.6593915343915344,0.9105952380952381,2.0,0.115555555556,"{'SVM__C': 2.0, 'SVM__gamma': 0.11555555555555555}",188,0.6791666666666668,0.907142857142857,0.6833333333333333,0.925,0.7833333333333333,0.9125,0.65,0.9125000000000001,0.46666666666666673,0.8958333333333334,0.0004893568232853859,0.0,0.09942229583414937,0.00942959349919661
0.001199960708618164,0.0004021167755126953,0.6593915343915344,0.9145238095238095,2.0,0.136666666667,"{'SVM__C': 2.0, 'SVM__gamma': 0.13666666666666669}",188,0.6791666666666668,0.907142857142857,0.6833333333333333,0.9375,0.7833333333333333,0.9071428571428571,0.65,0.9125000000000001,0.46666666666666673,0.9083333333333333,0.0003999487973505415,0.0004925079155275543,0.09942229583414937,0.011655728594570787
