mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_SVM__C,param_SVM__gamma,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.002248525619506836,0.0009993314743041992,0.5796012849584279,0.6403769841269842,10.0,0.00166666666667,"{'SVM__C': 10.0, 'SVM__gamma': 0.0016666666666666666}",20,0.6339285714285714,0.5472222222222223,0.45833333333333337,0.5407894736842105,0.5625,0.7182330827067669,0.6666666666666667,0.7552631578947369,0.00043057283147385455,1.233110479448867e-06,0.07957555752107472,0.09728294674656698
0.0025003552436828613,0.0012537240982055664,0.6549508692365836,0.9046169108669109,10.0,0.021724137931,"{'SVM__C': 10.0, 'SVM__gamma': 0.02172413793103448}",14,0.8571428571428572,0.9305555555555556,0.75,0.9018218623481782,0.4166666666666667,0.9092105263157895,0.5416666666666667,0.8768796992481203,0.0004993363205452652,0.00043614811659366997,0.1741999836580494,0.01917732903576235
0.0012496113777160645,0.0005002021789550781,0.7530990173847317,0.9207353319195424,10.0,0.0417816091954,"{'SVM__C': 10.0, 'SVM__gamma': 0.041781609195402289}",1,0.7446428571428572,0.9305555555555556,0.8333333333333333,0.9149797570850202,0.875,0.9605263157894736,0.5416666666666667,0.8768796992481203,0.0004315026666575991,0.000500203571053996,0.12299416268129226,0.030150465785311376
0.0025010108947753906,0.0010043978691101074,0.7275888133030991,0.9387009189640768,10.0,0.0618390804598,"{'SVM__C': 10.0, 'SVM__gamma': 0.061839080459770102}",2,0.6553571428571429,0.9305555555555556,0.8333333333333333,0.9605263157894738,0.875,0.9605263157894736,0.5416666666666667,0.9031954887218044,0.0004999695019444605,3.75225323093823e-06,0.13109510700793897,0.02387298899864569
0.0017496347427368164,0.0007495880126953125,0.6822845804988663,0.9655649540517961,10.0,0.0818965517241,"{'SVM__C': 10.0, 'SVM__gamma': 0.081896551724137914}",5,0.6553571428571429,0.9722222222222222,0.8333333333333333,0.9736842105263158,0.6458333333333334,0.9868421052631579,0.5833333333333334,0.9295112781954886,0.00043243098718990977,0.00043277484091095526,0.09216207838455116,0.021580235469144216
0.0022510290145874023,0.0005014538764953613,0.6965702947845804,0.9673362091125249,10.0,0.101954022989,"{'SVM__C': 10.0, 'SVM__gamma': 0.10195402298850573}",3,0.7053571428571428,0.9722222222222222,0.8333333333333333,0.9676113360323888,0.6458333333333334,1.0,0.5833333333333334,0.9295112781954886,0.001092492472332121,0.0005014547337586269,0.09074523355306717,0.02510775504176666
0.0017522573471069336,0.0007514357566833496,0.6945861678004535,0.9706256827967354,10.0,0.122011494253,"{'SVM__C': 10.0, 'SVM__gamma': 0.12201149425287354}",4,0.7053571428571428,0.9722222222222222,0.8333333333333333,0.9676113360323888,0.5208333333333334,1.0,0.7083333333333334,0.9426691729323308,0.0004329849933870935,0.00043384577453674033,0.11023763375801261,0.020347310507223187
0.002501547336578369,0.0010004043579101562,0.6624433106575963,0.9804941038493671,10.0,0.142068965517,"{'SVM__C': 10.0, 'SVM__gamma': 0.14206896551724138}",6,0.5928571428571429,0.9722222222222222,0.8333333333333333,0.9676113360323888,0.5208333333333334,1.0,0.7083333333333334,0.9821428571428571,0.0014997522481055134,2.2045662413724576e-06,0.118502422906699,0.012425659985909585
0.001500546932220459,0.0007526874542236328,0.6624433106575963,0.9804941038493671,10.0,0.162126436782,"{'SVM__C': 10.0, 'SVM__gamma': 0.16212643678160918}",6,0.5928571428571429,0.9722222222222222,0.8333333333333333,0.9676113360323888,0.5208333333333334,1.0,0.7083333333333334,0.9821428571428571,0.0004993118163270965,0.0004346053862101023,0.118502422906699,0.012425659985909585
0.0012506842613220215,0.0010001063346862793,0.6568216175359033,0.9839663260715893,10.0,0.182183908046,"{'SVM__C': 10.0, 'SVM__gamma': 0.18218390804597698}",13,0.5928571428571429,0.9861111111111112,0.8333333333333333,0.9676113360323888,0.4583333333333333,1.0,0.7500000000000001,0.9821428571428571,0.00043281205549340737,1.1356210042987853e-06,0.14279874189692662,0.011537867444037838
0.0012510418891906738,0.0007498264312744141,0.6488851095993954,0.9922462406015038,10.0,0.20224137931,"{'SVM__C': 10.0, 'SVM__gamma': 0.2022413793103448}",15,0.5928571428571429,1.0,0.875,0.986842105263158,0.4583333333333333,1.0,0.6666666666666666,0.9821428571428571,0.0004321903610867504,0.0004329126670145972,0.1503238703589897,0.00792976364223976
0.0012494921684265137,0.0010001659393310547,0.6588057445200303,0.9922462406015038,10.0,0.222298850575,"{'SVM__C': 10.0, 'SVM__gamma': 0.22229885057471263}",8,0.5928571428571429,1.0,0.875,0.986842105263158,0.5,1.0,0.6666666666666666,0.9821428571428571,0.000432121009476636,8.259061849445711e-07,0.13831636771983782,0.00792976364223976
0.0015003681182861328,0.001002967357635498,0.6588057445200303,0.9922462406015038,10.0,0.242356321839,"{'SVM__C': 10.0, 'SVM__gamma': 0.24235632183908043}",8,0.5928571428571429,1.0,0.875,0.986842105263158,0.5,1.0,0.6666666666666666,0.9821428571428571,0.0005013947253331752,3.1601705889252576e-06,0.13831636771983782,0.00792976364223976
0.002248048782348633,0.0007494688034057617,0.6588057445200303,0.9922462406015038,10.0,0.262413793103,"{'SVM__C': 10.0, 'SVM__gamma': 0.2624137931034482}",8,0.5928571428571429,1.0,0.875,0.986842105263158,0.5,1.0,0.6666666666666666,0.9821428571428571,0.0008275549235145256,0.0004327063547609228,0.13831636771983782,0.00792976364223976
