date,volume_^IXIC,swing_^IXIC,return_^IXIC,volume_^DJI,swing_^DJI,return_^DJI,volume_^GSPC,swing_^GSPC,return_^GSPC,Music,max_return,min_return,return_diff
2015-08-20,2087000000,109.01953125,-0.028204456186167293,128530000,354.630859375,-0.02063787988809518,3922470000,40.880126953125,-0.021100170073477753,wah_wah_trombones,-0.02063787988809518,-0.028204456186167293,0.007566576298072114
2015-08-21,2768540000,150.7099609375,-0.03515131493327728,225170000,531.138671875,-0.031248846881098635,5018240000,63.18994140625,-0.031850965718637325,wah_wah_trombones,-0.031248846881098635,-0.03515131493327728,0.0039024680521786426
2015-08-24,3508840000,402.759765625,-0.03820410314620193,293920000,1089.419921875,-0.03574783278148208,6612690000,98.1400146484375,-0.03941369286646568,wah_wah_trombones,-0.03574783278148208,-0.03941369286646568,0.0036658600849835965
2015-08-25,2612800000,183.43994140625,-0.004365593068213158,213220000,661.7001953125,-0.01291063360903244,5183560000,80.9600830078125,-0.01352199497897244,stormy_clarinet,-0.004365593068213158,-0.01352199497897244,0.009156401910759282
2015-08-26,2631660000,173.9404296875,0.042394367845334235,208420000,627.490234375,0.03951563462778562,5338250000,70.3399658203125,0.03903385877450183,sad_happy_music,0.042394367845334235,0.03903385877450183,0.003360509070832407
2015-08-27,2368880000,96.919921875,0.024517070832244414,171980000,381.1796875,0.02267413000509344,5006390000,46.8299560546875,0.024297748621125326,money_band,0.024517070832244414,0.02267413000509344,0.001842940827150974
2015-08-28,1936540000,48.39990234375,0.0032434664477909436,131790000,134.791015625,-0.0007060899643753782,3949080000,18.2900390625,0.0006087363616984476,swing_piano,0.0032434664477909436,-0.0007060899643753782,0.003949556412166322
2015-12-31,1437480000,51.05029296875,-0.011536058169839603,93690000,169.5,-0.010159121402310678,2655330000,18.9200439453125,-0.00941191309542666,stormy_piano,-0.00941191309542666,-0.011536058169839603,0.002124145074412942
2016-01-04,2218420000,56.10986328125,-0.02083318706573145,148060000,447.849609375,-0.015844440720654274,4304880000,48.5198974609375,-0.015303731089594375,wah_wah_trombones,-0.015303731089594375,-0.02083318706573145,0.0055294559761370765
2016-01-05,1927380000,53.98974609375,-0.0023780245396916033,105750000,157.23046875,0.0005668399000164914,3706620000,17.7698974609375,0.0020122259542274534,swing_piano,0.0020122259542274534,-0.0023780245396916033,0.004390250493919057
2016-01-06,2168620000,61.35009765625,-0.011381213296652759,120250000,337.2109375,-0.014695226103254577,4336660000,32.659912109375,-0.013115396702646942,wah_wah_trombones,-0.011381213296652759,-0.014695226103254577,0.003314012806601818
2016-01-07,2552590000,99.85009765625,-0.03025989646630789,176240000,424.728515625,-0.02321059530855174,5076590000,46.489990234375,-0.023700443014411654,wah_wah_trombones,-0.02321059530855174,-0.03025989646630789,0.007049301157756149
2016-01-08,2288750000,104.7197265625,-0.009766707521371654,141850000,337.3203125,-0.010151895533397792,4664940000,41.9400634765625,-0.010838374390218508,stormy_mandolins,-0.009766707521371654,-0.010838374390218508,0.0010716668688468545
2016-01-11,2391110000,109.240234375,-0.0012144913741670704,127790000,229.8193359375,0.0031884670105590818,4607290000,34.550048828125,0.0008532721255336551,swing_piano,0.0031884670105590818,-0.0012144913741670704,0.004402958384726152
2016-01-12,2147470000,96.77001953125,0.010334150155117516,117480000,269.279296875,0.007174429744971178,4887260000,33.030029296875,0.00780279851675636,money_piano,0.010334150155117516,0.007174429744971178,0.0031597204101463383
2016-01-13,2533200000,196.419921875,-0.03411493707670632,153530000,470.3095703125,-0.022088015983340203,5087030000,63.919921875,-0.02496545230421965,stormy_piano,-0.022088015983340203,-0.03411493707670632,0.012026921093366116
2016-01-14,2565560000,179.9599609375,0.019650632173423555,158830000,406.9306640625,0.014094103625336585,5241110000,55.5399169921875,0.016695905386662213,money_piano,0.019650632173423555,0.014094103625336585,0.00555652854808697
2016-01-15,2818630000,101.0400390625,-0.027427969257854845,239210000,512.2197265625,-0.02387011036810016,5468460000,58.85009765625,-0.021599098001850003,wah_wah_trombones,-0.021599098001850003,-0.027427969257854845,0.005828871256004842
2016-06-30,2171180000,68.58984375,0.013269848171784338,133030000,218.80859375,0.013298378440906644,4622820000,28.93994140625,0.013565044705922347,money_piano,0.013565044705922347,0.013269848171784338,0.00029519653413800917
2016-07-01,1745130000,43.0,0.004109283239367434,82160000,85.470703125,0.0010808096377457055,3458890000,10.81005859375,0.00194860235588723,money_piano,0.004109283239367434,0.0010808096377457055,0.0030284736016217284
2017-06-27,2181830000,87.69970703125,-0.016092103875806507,292170000,129.939453125,-0.004618995793531866,3563910000,20.77001953125,-0.00807282488613359,stormy_piano,-0.004618995793531866,-0.016092103875806507,0.011473108082274641
2017-06-28,2069400000,93.490234375,0.014282652480347213,271510000,106.390625,0.006754798663887618,3500800000,14.949951171875,0.008808066374833778,money_piano,0.014282652480347213,0.006754798663887618,0.007527853816459595
2017-06-29,2402250000,128.7900390625,-0.014445642223822053,336750000,290.30078125,-0.007810912573419926,3900280000,37.030029296875,-0.008600023246820632,stormy_piano,-0.007810912573419926,-0.014445642223822053,0.006634729650402127
2017-06-30,1998330000,41.58984375,-0.0006396405997030064,313260000,101.0390625,0.0029408313215968374,3361590000,11.06005859375,0.0015332318107057485,swing_piano,0.0029408313215968374,-0.0006396405997030064,0.0035804719212998437
2017-07-03,1099560000,71.23974609375,-0.004944264996127434,186810000,171.0390625,0.0060721739279194775,1962290000,10.47998046875,0.002310833849555216,swing_piano,0.0060721739279194775,-0.004944264996127434,0.011016438924046912
